,name,location,at_student_home,at_online,at_teacher_home,rate,review,price,languages,picture,seniority,trusted_teacher,Bachelor's degree,Master's degree,Other studies,PhD,Student,Teach Arabic,Teach Business,Teach Computers,Teach English,Teach French,Teach Humanities,Teach Language Skills,Teach Math,Teach Music,Teach Other Languages,Teach Sciences,Teach Spanish,Teach Sports,Teach Telecommunications,Tech Arts,region,0-3,13-17,18-64,4-6,65+,7-12,Advanced,Beginner,Intermediate,region_code,location_code
3965,Sara,Morocco,1.0,1,1.0,5.0,4,111.94,5.0,0,4,1.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,West Africa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0
3966,Sam,Germany,0.0,1,1.0,5.0,11,96.5,3.0,0,5,1.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,2
3967,Nicolas,France,0.0,1,0.0,5.0,1,131.24,2.0,0,3,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,14
3968,Hannah,United Kingdom,1.0,1,1.0,5.0,1,171.46,1.0,0,3,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Central Europe,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,15
3969,Amélia,Belgium,1.0,1,1.0,5.0,1,142.82,3.0,0,3,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,West Europe,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,7
3970,Khaled,Egypt,0.0,1,0.0,0.0,0,100.36,3.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,West Africa,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,18
3971,Andres,Colombia,0.0,1,0.0,0.0,0,25.14,2.0,0,0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Americas,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,5,11
3972,Sahira,Portugal,0.0,1,0.0,0.0,0,92.64,3.0,0,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,37
3973,Clara,Spain,0.0,1,0.0,0.0,0,50.18,2.0,0,0,1.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,13
3974,Fatma Sayed,Egypt,0.0,1,0.0,0.0,0,20.41,2.0,0,0,1.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,West Africa,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0,18
